,stmt_date,stmt_desc,stmt_exp
261,07/31/17,ALBERTSONS 0941,31.58
262,07/31/17,FOOD CITY 105,8.59
263,07/31/17,WAL-MART 3241,4.12
264,08/01/17,BASHAS 120,8.86
265,08/01/17,FRYS-MKTPLACE 625,13.08
266,08/04/17,FOOD CITY 105,4.47
267,08/04/17,FRYS-MKTPLACE 625,8.64
268,08/04/17,SPROUTS FARMERS MAR,4.10
269,08/05/17,99 CENTS ONLY STORES 2,3.08
270,08/05/17,WM SUPERCENTER 3241,25.85
271,08/07/17,GROCERY OUTLET OF L LA,11.80
272,08/08/17,99 CENTS ONLY STORES 2,2.18
273,08/09/17,99-CENTS-ONLY 0322,9.34
274,08/10/17,LAMS FAMILY MARKET,7.60
275,08/11/17,SPROUTS FARMERS MAR,5.57
276,08/14/17,FRYS-MKTPLACE 625,34.60
277,08/14/17,WAL-MART 3241,4.35
278,08/15/17,BASHAS 120,1.11
279,08/15/17,BASHAS 120,1.15
280,08/15/17,FRYS-MKTPLACE 617,34.92
281,08/15/17,SPROUTS FARMERS MAR,4.17
282,08/16/17,FRYS-MKTPLACE 625,15.26
283,08/16/17,WM SUPERCENTER 1417,17.03
284,08/18/17,FRYS-FOOD-DRG0077,4.05
285,08/18/17,SPROUTS FARMERS MAR,10.62
286,08/21/17,FOOD CITY 105,5.57
287,08/25/17,FOOD CITY 105,6.55
288,08/25/17,SPROUTS FARMERS MAR,9.35
289,08/28/17,99-CENTS-ONLY 0122,14.58
290,08/30/17,99-CENTS-ONLY 0322,8.38
291,08/31/17,ALBERTSONS STO00019711,3.01
292,09/01/17,99-CENTS-ONLY 0322,5.00
293,09/01/17,SPROUTS FARMERS MAR,4.07
294,09/07/17,FRYS-FOOD-DRG 060,6.52
295,09/08/17,ALBERTSONS STO00039412,13.72
296,09/08/17,ALBERTSONS STO00039412,48.28
297,09/08/17,FOOD CITY 105,7.27
298,09/08/17,FOOD CITY 105,15.68
299,09/11/17,99 CENTS ONLY STORES 2,11.24
300,09/12/17,SPROUTS FARMERS MAR,10.52
301,09/13/17,99 CENTS ONLY STORES 2,3.27
302,09/14/17,SAFEWAY STORE00002402,5.72
303,09/15/17,FOOD CITY 104,8.34
304,09/18/17,BASHAS 113,4.00
305,09/18/17,BASHAS 113,4.01
306,09/20/17,99-CENTS-ONLY 0322,7.00
307,09/20/17,99-CENTS-ONLY 0322,12.00
308,09/21/17,PURITANS PRIDE,129.65
309,09/22/17,SPROUTS FARMERS MAR,19.38
310,09/25/17,99-CENTS-ONLY 0122,12.87
311,09/26/17,FOOD CITY 105,23.81
312,09/26/17,SPROUTS FARMERS MAR,16.31
313,09/29/17,SPROUTS FARMERS MAR,4.54
314,10/02/17,FRYS-MKTPLACE 625,47.15
315,10/03/17,99 CENTS ONLY STORES 2,4.10
316,10/04/17,FRYS-MKTPLACE 617,12.94
317,10/05/17,SAFEWAY 240,6.41
318,10/06/17,99-CENTS-ONLY 0322,17.00
319,10/06/17,FOOD CITY 105,8.05
320,10/06/17,FRYS-MKTPLACE 625,22.51
321,10/10/17,99 CENTS ONLY STORES 2,3.21
322,10/10/17,PURITANS PRIDE,38.34
323,10/12/17,99-CENTS-ONLY 0131,7.00
324,10/13/17,FOOD CITY 105,5.76
325,10/19/17,SAFEWAY 240,8.01
326,10/19/17,SPROUTS FARMERS MAR,3.76
327,10/20/17,FOOD CITY 105,5.49
328,10/21/17,WM SUPERCENTER 3241,17.20
329,10/23/17,99 CENTS ONLY STORES 2,9.83
330,10/23/17,SAFEWAY 1510,1.00
331,10/28/17,FRYS-FOOD-DRG 63 PRESCOTT,21.99
332,11/06/17,99 CENTS ONLY STORES 2,3.08
333,11/06/17,FOOD CITY 105,5.90
334,11/07/17,SAFEWAY 1510,14.31
335,11/07/17,SPROUTS FARMERS MAR,8.52
336,11/08/17,99 CENTS ONLY STORES 2,6.15
337,11/10/17,FOOD CITY 105,15.20
338,11/13/17,LEE LEE INTERNATION,12.27
339,11/14/17,BASHAS 120,14.85
340,11/16/17,99-CENTS-ONLY 0322,9.43
341,11/16/17,SAFEWAY 240,-3.99
342,11/16/17,SAFEWAY 240,5.98
343,11/16/17,SAFEWAY 240,29.18
344,11/17/17,SPROUTS FARMERS MAR,3.10
345,11/18/17,FOOD CITY 105,11.32
346,11/20/17,99 CENTS ONLY STORES 2,15.27
347,11/20/17,ALBERTSONS 0991,7.52
348,11/20/17,FRYS-FOOD-DRG 0074,4.39
349,11/21/17,99-CENTS-ONLY 0322,9.00
350,11/21/17,ALBERTSONS 0991,9.08
351,11/28/17,PAYPAL PURITANSPRI,55.08
352,12/07/17,SAFEWAY 240,3.29
353,12/08/17,SAFEWAY 240,5.52
354,12/11/17,99 CENTS ONLY STORES 2,5.91
355,12/11/17,99-CENTS-ONLY 166,11.00
356,12/11/17,FOOD CITY 104,31.79
357,12/12/17,ALBERTSONS 0991,8.52
358,12/13/17,99-CENTS-ONLY 0131,5.42
359,12/13/17,FOOD CITY 105,3.85
360,12/14/17,99 CENTS ONLY STORES 2,5.13
361,12/15/17,FOOD CITY 105,4.03
362,12/15/17,FOOD CITY 105,9.39
363,12/16/17,FOOD CITY 105,6.66
364,12/18/17,FOOD CITY 105,1.76
365,12/20/17,FRYS-MKTPLACE 625,5.11
366,12/20/17,FRYS-MKTPLACE 625,9.54
367,12/22/17,SPROUTS FARMERS MAR,10.62
368,12/23/17,99 CENTS ONLY STORES 2,2.05
369,12/23/17,SPROUTS FARMERS MARSPR,-1.00
370,05/20/17,ANTIVIRUSHELPER.COM,2.99
371,06/21/17,ANTIVIRUSHELPER.COM,8.99
372,07/20/17,ANTIVIRUSHELPER.COM,8.99
373,08/21/17,WWWTOTALAV.COM,8.99
374,09/07/17,MAJOR APPLIANCE PARTS,131.15
375,09/20/17,WWWTOTALAV.COM,8.99
376,10/21/17,WWWTOTALAV.COM,8.99
377,11/17/17,PAYPAL DRVRSUPPORT,9.99
378,12/18/17,PAYPAL DRVRSUPPORT,9.99
379,02/10/17,RUSSELL S DUERKSEN TR CHINO,2000.00
380,02/17/17,CITY SERVICES GLENDALE,77.08
381,02/25/17,COVENANT HOUSE,200.00
